Number,SourceLine,Text
197,111164,正文 第一百九十七节：霜玉孔雀
198,111334,正文 第一百九十八节：今夜无眠
199,111512,正文 第一百九十九节：察运蛊
200,111700,正文 第二百节：可怜人（大章）
201,112024,正文 第二百零一节：苏醒
202,112230,正文 第二百零二节：伏击巨阳意志
203,112418,正文 第二百零三节：巨阳反击
204,112626,正文 第二百零四节：不自由毋宁死
205,112886,正文 第二百零五节：胜负关键
206,113086,正文 第二百零六节：江山如故
207,113292,正文 第二百零七节：蒙蔽地灵
208,113496,正文 第二百零八节：身份暴露
209,113662,正文 第二百零九节：天外之魔！
210,113834,正文 第二百一十节：我们是同门师兄弟！
211,114084,正文 第二百一十一节：复原荡魂山
212,114352,正文 第二百一十二节：鸿运之因
213,114516,正文 第二百一十三节：大力真武体
214,114734,正文 第二百一十四节：鸿运之威
215,114942,正文 第二百一十五节：自己阻止自己？
216,115172,正文 第二百一十六节：对战黑楼兰
217,115444,正文 第二百一十七节：抓住最大的破绽！
218,115686,正文 第二百一十八节：炼化八十八角真阳楼
219,115896,正文 第二百一十九节：阴险无耻小人！
220,116084,正文 第二百二十节：还有后手
221,116326,正文 第二百二十一节：升仙！
222,116578,正文 第二百二十二节：十大凶灾乱歧牙
223,116776,正文 第二百二十三节：枭雄黑楼兰
224,116978,正文 第二百二十四节：无相手
225,117196,正文 第二百二十五节：混乱危局
226,117434,正文 第二百二十六节：发财
227,117668,正文 第二百二十七节：痛并快乐着
228,117876,正文 第二百二十八节：终成蛊仙
229,118104,正文 第二百二十九节：大同风幕
230,118316,正文 第二百三十节：重大抉择
231,118496,正文 第二百三十一节：惊变
232,118714,正文 第二百三十二节：大惊变
233,118926,正文 第二百三十三节：不肖子孙
234,119134,正文 第二百三十四节：巨阳逞威，方源得助
235,119314,正文 第二百三十五节：方源VS巨阳意志
236,119482,正文 第二百三十六节：方源VS巨阳意志（续）
237,119692,正文 第二百三十七节：三八封禁术
238,119866,正文 第二百三十八节：最后的底牌
239,120074,正文 第二百三十九节：不犯同样的错误(上)
240,120186,正文 第二百四十节：不犯同样的错误（下）
241,120268,正文 第二百四十一节：人生路
242,120470,正文 第二百四十二节：答案就在己身！
243,120682,正文 第二百四十三节：枭雄
244,120866,正文 第二百四十四节：双魔
