"section_number","occurrences","first_source_line","last_source_line","titles","canonical_candidates","review_required"
"55","3","8522","84898","要的就是你这番话 | 尸群来袭 | 古往炼道第一仙","3","0"
"56","3","8680","85064","洗尽嫌疑 | 丁浩，你给我出来！ | 三尊说","3","0"
"57","3","8816","85224","君子的谎言 | 原来你是大师兄 | 换蛊","3","0"
"58","3","8980","85420","家族里不是只有规矩 | 背后一枪 | 方源的尴尬","3","0"
"59","3","9118","85570","不管三转四转，都是猴子 | 计划中的分别 | 不永生都是屎","3","0"
"60","3","9242","85754","影灭壁破现甬道，魔道传承岂易 | 父女相认 | 今夜星空真美","3","0"
"61","3","9394","85952","草绳上的人生 | 各有算计 | 没有什么不能出卖的","3","0"
"62","3","9554","86134","蛊室再选蛊 | 商家内城 | 智道","3","0"
"63","3","9736","86310","月下赠玉皮，地花藏白豕 | 卖不出去 | 阴谋","3","0"
"64","3","9926","86500","暗事好做，明事难成 | 接见 | 活棋","3","0"
"65","3","10088","86684","还不快滚 | 糟糕透顶！ | 水魔","3","0"
"66","3","10260","86868","人死如猪死 | 刀光对骨枪 | 狼王，你疯了吗！？","3","0"
"67","3","10454","86996","你放心，我会饶了你们的 | 我名叫方正 | 奴道之威!","3","0"
"68","3","10584","87154","大自然没有无辜 | 大大低估了方源的无耻 | 正道英雄","3","0"
"69","3","10732","87308","命贱如草 | 暴富 | 投降","3","0"
"70","4","10840","386824","使用白豕蛊 | 家宴 | 飞跃的修为 | 强弱(第1/1页)","3","1"
"71","3","11014","87662","力可扛猪思低调 | 商燕飞的酬谢 | 气泡鱼","3","0"
"72","4","11168","87814","任何组织都需要忠诚 | 紫荆令牌（二合一大章） | 紫荆令牌 | 五转敛息蛊","3","1"
"73","3","11302","87958","神秘的红圈标记 | 新盟约 | 中流砥柱","3","0"
"74","3","11476","88090","智窥迷雾现杀机 | 晋升三转 | 杀人的好天气","3","0"
"75","3","11632","88270","魔道的觉悟！ | 活宝门 | 死吧，死吧","3","0"
"76","3","11810","88484","后悔吗 | 力道和冰道 | 贝草川","3","0"
"77","3","12006","88648","阴差阳错 | 星辰石 | 裴燕飞","3","0"
"78","4","12180","203362","不出算计收获丰 | 谨慎和忍耐 | 安然撤退 | 变化道宗师！：手机用户请访问http://m.piaotian.","3","1"
"79","3","12334","89060","突破遗藏第六蛊 | 何等天真！ | 影响","3","0"
"80","3","12520","89240","战力大涨 | 这就动手？! | 算计地灵","3","0"
"81","3","12708","89412","二转初阶！ | 剑影蛊（两章合一） | 两仙蛊入手！","3","0"
"82","3","12906","89598","年末考核开始 | 熊力虚影 | 交易仙蛊","3","0"
"83","3","13070","89780","扫强敌方正展风采 | 灵光一闪蛊 | 马英杰","3","0"
"84","3","13208","89944","狠狠地踩踏！ | 得手 | 对常山阴的议论","3","0"
"85","4","13392","204724","热血和冷血！！ | 一，二，五 | 第二空窍！ | 黑家大战（中：手机用户请访问http://m.piaotian.","3","1"
"86","3","13618","90306","怀疑和试探 | 全力以赴蛊 | 狼群暴膨","3","0"
"87","3","13774","90478","态度就是心的面具 | 牛刀小试先一场 | 再收异兽狼","3","0"
"88","3","13916","90662","下马威、刁难和打压 | 名声蛊 | 战力激增","3","0"
"89","3","14076","90854","一条病蛇盘踞在脚边 | 力道修行有玄机 | 都给我滚","3","0"
"90","3","14214","91062","不过是些许风霜罢了 | 不能阻挡我 | 灰白石板","3","0"
"91","3","14374","91240","方源，我们很担心你 | 方源vs李好（上） | 地丘传承","3","0"
"92","3","14562","91414","未来遥遥在望 | 方源vs李好（下） | 墨狮狂","3","0"
"93","3","14738","91624","小兽潮 | 法则碎片，大道之痕 | 狼嚎声起","3","0"
"94","3","14924","91826","忽然收力 | 苍天无眼啊 | 龟玉狼皮蛊","3","0"
"95","3","15072","92022","猪的队友 | 罪犯必要严惩！ | 内外交困斩荆棘","3","0"
"96","3","15268","92204","为了死去的人 | 其实，我也是受害者 | 五十万狼启战端","3","0"
"97","3","15466","92392","魔头横行 | 拍卖会 | 赵怜云","3","0"
"98","3","15642","92532","炼蛊的艰难 | 一蹴而就蛊 | 东方余亮","3","0"
"99","3","15786","92686","是人不是神 | 白凝冰vs铁刀苦 | 刺杀(大章)","3","0"
"100","3","16038","92960","白玉蛊 | 闭嘴，你这头肥猪！ | 星念蛊","3","0"
"101","3","16226","93130","心老人便老（求订阅和月票！） | 方源vs朱八（上） | 三心合魂","2","1"
"102","3","16376","93292","冬风吹来春天(保质量第三更) | 方源vs朱八（下） | 令人惊喜的盗天传承","3","0"
"103","3","16532","93470","野心一大，世界就小 | 铁若男 | 先挑狼王","3","0"
"104","4","16700","208742","想买酒虫？ | 真想扼杀掉 | 大手一挥 | 再杀：手机用户请访问http://m.piaotian.","3","1"
"105","3","16870","93826","我会输得很惨 | 苦力蛊 | 大战","3","0"
"106","3","17024","94014","半生积累成泡影，唯有本命长久存 | 拍卖（上） | 暗漩云涡","3","0"
"107","3","17214","94200","熟能生巧掂元石，酒肆当中恶客来 | 拍卖（中） | 可靠的盟友","3","0"
"108","3","17384","94368","那双眼睛！ | 拍卖（下） | 七星灯","3","0"
"109","3","17668","94562","树屋藏酒虫 | 拍卖（终） | 狼王的狠辣","3","0"
"110","3","17854","94754","老太婆，你太嫩了！ | 心慈之志 | 东方余亮的后手","3","0"
"111","3","18046","94918","元石不过身外物 | 你这个无耻小人！ | 战功榜","3","0"
"112","3","18228","95078","真是好魄力 | 其实我是个善良的人 | 潜魂兽衣蛊","3","0"
"113","3","18412","95258","闷声发财 | 再到三转巅峰 | 扬名","3","0"
"114","3","18590","95442","洞中有猴王 | 白凝冰VS炎突 | 只是一场游戏","3","0"
"115","3","18784","95596","晋升中阶 | 胜和败 | 偷鞋（上）","3","0"
"116","3","18972","95748","斩杀猴王得新蛊 | 硬气蛊 | 偷鞋（下）","3","0"
"117","3","19160","95896","苦贝酒和吞江蟾 | 必胜魔心 | 五转功倍蛊","3","0"
"118","3","19328","96042","吞江蟾的传说 | 方源vs巨开碑（上） | 老夫太白云生","3","0"
"119","3","19522","96268","此子顽劣，需要打磨 | 方源vs巨开碑（中） | 威望隆重功第一","3","0"
"120","3","19690","96428","得来全不费工夫 | 方源vs巨开碑（下） | 风云急变少猛将","3","0"
"121","3","19958","96610","四味酒虫 | 一飞冲天 | 修罗欧阳两败伤","3","0"
"122","3","20152","96794","人生几多风雪 | 商家城喧腾 | 一心求胜顾狼王","3","0"
"123","3","20332","96926","天地我在独行 | 竞争压力 | 真武秘辛等支援","3","0"
"124","4","20488","97796","我不需要理解 | 三王传承开启 | 穿越而已仍自奋","3","1"
"125","3","20646","97224","哦，那我认输 | 大赚一笔 | 为他整理容貌","3","0"
"126","3","20860","97446","木魅之殇 | 仙之福地 | 大战（上）","3","0"
"127","3","21054","97626","所谓的道德和感情（大章） | 九眼酒虫 | 大战（中）","3","0"
"128","2","21280","60800","严冬不肃杀，何以见阳春！ | 才貌双全，心慈风采","2","0"
"129","3","21494","97968","锯齿金蜈 | 都是吃 | 大战（终）","2","1"
"130","3","21670","98182","还是族人可靠 | 雄家三兄弟 | “父子”相见","3","0"
"131","3","21876","98346","孤独是最深邃的黑暗 | 卫德馨 | 大决战","3","0"
"132","3","22082","98532","三步芳草 | 晋升四转 | 雪松子","3","0"
"133","3","22292","98704","谢谢你让我杀你 | 周全的震骇 | 挑将","3","0"
"134","3","22498","98886","追杀 | 离开商家城 | 五转巅峰！","3","0"
"135","3","22692","99088","北冥冰魄，十绝天资 | 仙鹤门，方正 | 以一对三！","3","0"
"136","3","22848","99266","斗力斗智 | 白狐蛊仙传承 | 四臂地王！","3","0"
"137","3","23040","99494","影之殇 | 英雄救美 | 兼修两道！","3","0"
"138","3","23226","99704","居然有人追着白凝冰杀？ | 见死不救 | 胜局已定","3","0"
"139","3","23426","99900","断臂 | 狐魅儿 | 陷害蛊仙？","3","0"
"140","3","23604","100080","古月青书VS白凝冰（上） | 麻烦 | 马鸿运","3","0"
"141","3","23782","100238","古月青书VS白凝冰（中） | 打成肉渣 | 渺小者的前行","3","0"
"142","3","23986","100416","古月青书VS白凝冰（下） | 何等的穷凶极恶！ | 寻觅成功","3","0"
"143","3","24170","100612","答案 | 彪 | 幽火蟒穴藏传承","3","0"
"144","3","24392","100822","牺牲常在，而信念不死 | 卑劣无耻 | 借力雪蝠御天青","3","0"
"145","3","24558","100998","都鼓励牺牲 | 有才无德 | 诗仙陨落星鹫峰","3","0"
"146","3","24740","101172","强势(第二更) | 横冲直撞蛊 | 好好教育","3","0"
"147","3","24922","101340","这个方源太狂妄(第三更) | 初入犬王传承 | 巨阳仙尊","3","0"
"148","3","25100","101512","局面（第一更） | 何等的奴道造诣！ | 王庭圣宫","3","0"
"149","3","25270","101698","群狼袭寨（第二更） | 菊花秋田犬 | 谋算艰难生不易","3","0"
"150","3","25506","101862","我只是帮自己（第三更） | 大电文狗 | 雪爪飞舞楼显化","3","0"
"151","3","25736","102058","魔性 | 狗胆蛊 | 竟是蛊仙传承！","3","0"
"152","3","25932","102234","晋升三转（第二更） | 一心多用蛊 | 三等通关可为上？","3","0"
"153","3","26138","102454","真的老了 | 随手杀了 | 巨阳大局晶中宝","3","0"
"154","3","26328","102636","气得吐血 | 雷猪、岩鳄 | 仙尊意志","3","0"
"155","3","26510","102832","借 | 古铜皮蛊 | 关键问题","3","0"
"156","3","26680","103026","照影秘方，花酒迷离 | 易火的招揽 | 参透密语","3","0"
"157","3","26830","103216","血月蛊 | 身上有毛的人 | 贪生怕死因由何？","3","0"
"158","3","26998","103372","此一时彼一时 | 毛民的传说 | 三份传承显本性","3","0"
"159","3","27206","103562","这个方源…… | 新底牌 | 伟力逆流惊圣宫","3","0"
"160","3","27430","103750","满堂叫好 | 拦截 | 众人蜂拥各有意","3","0"
"161","3","27624","103934","心甘情愿被剥削 | 以一对七(上) | 近水楼台解玄秘","3","0"
"162","3","27828","104124","天元宝莲 | 以一对七(中) | 人生为何早有悟（六千二大章）","3","0"
"163","3","28022","104494","雷冠头狼 | 以一对七(下) | 墨瑶意志","3","0"
"164","3","28196","104686","激战 | 以一对七(终) | 六臂天尸王","3","0"
"165","3","28418","104842","血滴子 | 声名大噪！ | 妥协","3","0"
"166","3","28610","105004","二战白凝冰 | 狐仙福地开启 | 死不足惜","3","0"
"167","3","28836","105176","第四头？！ | 地灵 | 炼得地魁尸蛊","3","0"
"168","3","29058","105368","狡电狈 | 这年头干爹不好当 | 人肉试验","3","0"
"169","3","29290","105534","寻路 | 撕了童子 | 墨瑶的弱点","3","0"
"170","3","29494","105690","铁面无私血可冷？ | 魔道的觉悟 | 再探真阳楼","3","0"
"171","3","29732","105850","骨子里的魔性 | 铁家的荣耀 | 奖励的杀招","3","0"
"172","3","29886","106026","非方源莫属！ | 且让他飞得再高些 | 公子，救我……","3","0"
"173","3","30070","106206","白相仙蛇 | 地灵——蛊仙之殇 | 联姻","3","0"
"174","3","30270","106358","小神捕 | 五转大战 | 代理家老","3","0"
"175","3","30420","106512","压力渐生 | 福地有灾劫 | 杀招完善","3","0"
"176","3","30596","106724","牺牲的觉悟 | 群雄并现 | 升六角，难找试蛊之人","3","0"
"177","3","30742","106876","哥哥，你怎么能这样对我？！ | 方源主动寻死 | 战飞熊，狼王独得五成","3","0"
"178","3","30896","107064","黑白灰 | 炼仙蛊！ | 杀飞熊，最后关口生变","3","0"
"179","3","31086","107348","历史由人书写 | 他死了 | 水魔陨，方源一语惊人","3","0"
"180","3","31250","107580","再看开窍大典 | 一切皆在谋算中 | 终过关，方源索要仙蛊","3","0"
"181","3","31378","107786","阴差阳错（大章） | 屠戮五转 | 演飞熊，墨瑶话虚道","3","0"
"182","4","31602","107948","血湖墓地 | 都要死！ | 仙凡之别差万千","3","1"
"183","3","31806","108148","血海老祖 | 继续杀 | 互有阴谋各算计","3","0"
"184","3","31976","108324","五转激战 | 宇宙奥义，红莲魔尊 | 父子羁绊真假情","3","0"
"185","4","31982","108488","古月一代，五大飞僵 | 狡诈鬼医，生死秘门 | 散迫身亡不可待","3","1"
"186","3","32194","108678","春秋不出 | 恩怨情仇 | 牺牲（六千七大章）","3","0"
"187","3","32200","109132","时间长河唯一条，春秋蝉做舟来渡 | 他也死了 | 影子深黑","3","0"
"188","4","32358","109442","前人开道后人跑路 | 五转奴隶蛊 | 力道仙蛊出现","3","1"
"189","3","32554","109640","惊变 | 青天碧空，狐仙金煌 | 计划发动！","3","0"
"190","3","32736","109842","三战白凝冰 | 只差最后一步 | 青藤锁关，方源暗害","3","0"
"191","3","32950","110018","鹤灾 | 魔无天 | 早有准备，墨瑶惊疑","3","0"
"192","4","33152","110228","扬眉吐气 | 魔道联军 | 真传秘境，意想不到","3","1"
"193","4","33292","110428","神捕后手 | 正魔齐攻 | 三老三真传，意志可取巧","3","1"
"194","4","33470","110622","血幕天华 | 群攻 | 长生难难难","3","1"
"195","4","33642","110806","那就让我成魔 | 大功告成！ | 无上真传！","3","1"
"196","4","33790","110964","再次重生 | 白凝冰？ | 捡漏","3","1"
"197","3","33990","111164","改命 | 白凝冰！ | 霜玉孔雀","3","0"
"198","3","34198","111334","杀人放血心狠，因祸得福手辣！ | 战斗才刚刚开始 | 今夜无眠","3","0"
"199","3","34410","111512","走向各自的命运 | 为山九仞功亏一篑 | 察运蛊","3","0"
"200","2","73900","111700","春秋蝉！ | 可怜人（大章）","2","0"
"201","2","74080","112024","人生匆匆百年，不过一场豪赌！ | 苏醒","2","0"
"202","2","74252","112230","再度决战 | 伏击巨阳意志","2","0"
"203","2","74432","112418","一切皆在我掌控之中 | 巨阳反击","2","0"
"204","2","74632","112626","白凝冰，你演够了吗？ | 不自由毋宁死","2","0"
"205","2","74816","112886","再炼仙蛊！ | 胜负关键","2","0"
"206","2","75004","113086","今日暂且展翼去，明朝登仙笞凤凰！ | 江山如故","2","0"
"207","1","113292","113292","蒙蔽地灵","1","0"
"208","1","113496","113496","身份暴露","1","0"
"209","1","113662","113662","天外之魔！","1","0"
"210","1","113834","113834","我们是同门师兄弟！","1","0"
"211","1","114084","114084","复原荡魂山","1","0"
"212","1","114352","114352","鸿运之因","1","0"
"213","1","114516","114516","大力真武体","1","0"
"214","1","114734","114734","鸿运之威","1","0"
"215","1","114942","114942","自己阻止自己？","1","0"
"216","1","115172","115172","对战黑楼兰","1","0"
"217","1","115444","115444","抓住最大的破绽！","1","0"
"218","1","115686","115686","炼化八十八角真阳楼","1","0"
"219","1","115896","115896","阴险无耻小人！","1","0"
"220","1","116084","116084","还有后手","1","0"
"221","1","116326","116326","升仙！","1","0"
"222","1","116578","116578","十大凶灾乱歧牙","1","0"
"223","1","116776","116776","枭雄黑楼兰","1","0"
"224","1","116978","116978","无相手","1","0"
"225","1","117196","117196","混乱危局","1","0"
"226","1","117434","117434","发财","1","0"
"227","1","117668","117668","痛并快乐着","1","0"
"228","1","117876","117876","终成蛊仙","1","0"
"229","1","118104","118104","大同风幕","1","0"
"230","1","118316","118316","重大抉择","1","0"
"231","1","118496","118496","惊变","1","0"
"232","1","118714","118714","大惊变","1","0"
"233","1","118926","118926","不肖子孙","1","0"
"234","1","119134","119134","巨阳逞威，方源得助","1","0"
"235","1","119314","119314","方源VS巨阳意志","1","0"
"236","1","119482","119482","方源VS巨阳意志（续）","1","0"
"237","1","119692","119692","三八封禁术","1","0"
"238","1","119866","119866","最后的底牌","1","0"
"239","1","120074","120074","不犯同样的错误(上)","1","0"
"240","1","120186","120186","不犯同样的错误（下）","1","0"
"241","1","120268","120268","人生路","1","0"
"242","1","120470","120470","答案就在己身！","1","0"
"243","1","120682","120682","枭雄","1","0"
"244","1","120866","120866","双魔","1","0"
"255","1","237672","237672","脚踹八转大能：","0","1"
"256","1","237884","237884","小人的坚持：","0","0"
"261","1","165164","165164","修为低也有好处：","0","1"
"263","1","239270","239270","逆流河太古秘辛：","0","1"
"270","1","240798","240798","影宗方源和谈？：","0","1"
"274","1","167914","167914","百日大战落幕：","0","1"
"276","1","168316","168316","弃此残躯换清风：","0","1"
"288","1","170712","170712","多重复合蛊阵：","0","1"
"292","1","171536","171536","方源谋划：","0","1"
"306","1","174456","174456","蓝：","0","1"
"308","1","174982","174982","威凌天地：","0","1"
"445","1","274432","274432","难怪方源看不上我：","0","1"
"467","1","278346","278346","香消玉殒：","0","1"
"468","1","278504","278504","搜刮战利品：","0","0"
"533","2","289108","289398","四千年寿蛊！：","0","2"
"534","2","289266","289554","炼道真意：","0","0"
