"source_line","section_number","section_text","title","noise_flags","sequence_run","sequence_status","duplicate_group","canonical_candidate","review_required"
"4230","26","二十六","一切组织的本质","","1","monotonic_next","section-26","True","False"
"4316","27","二十七","公然勒索","","1","monotonic_next","section-27","True","False"
"4454","28","二十八","无本生意！","","1","monotonic_next","section-28","True","False"
"4618","29","二十九","不择手段","","1","monotonic_next","section-29","True","False"
"4758","30","三十","方源！你又来抢？","","1","monotonic_next","section-30","True","False"
"4858","31","三十一","方源，你大祸临头了！","","1","monotonic_next","section-31","True","False"
"4980","32","三十二","戏耍","","1","monotonic_next","section-32","True","False"
"5130","33","三十三","你骂吧","","1","monotonic_next","section-33","True","False"
"5262","34","三十四","压着你打！","","1","monotonic_next","section-34","True","False"
"5410","35","三十五","你叫吧","","1","monotonic_next","section-35","True","False"
"5560","36","三十六","分尸送礼！","","1","monotonic_next","section-36","True","False"
"5702","37","三十七","既是妥协又是威胁","","1","monotonic_next","section-37","True","False"
"5818","38","三十八","魔头在光明中行走","","1","monotonic_next","section-38","True","False"
"6014","39","三十九","蛤蟆商队","","1","monotonic_next","section-39","True","False"
"6144","40","四十","紫金石中蟾蛊眠","","1","monotonic_next","section-40","True","False"
"6278","41","四十一","解石","","1","monotonic_next","section-41","True","False"
"6424","42","四十二","竟然真的开出了蛊？！","","1","monotonic_next","section-42","True","False"
"6578","43","四十三","最后的第六块紫金石","","1","monotonic_next","section-43","True","False"
"6692","44","四十四","猴儿酒，酒虫机缘不相让","","1","monotonic_next","section-44","True","False"
"6856","45","四十五","洞心机，已在瓮中不自觉","","1","monotonic_next","section-45","True","False"
"7046","46","四十六","杀人不要想太多","","1","monotonic_next","section-46","True","False"
"7166","47","四十七","贾金生，其实我不想杀你的","","1","monotonic_next","section-47","True","False"
"7362","48","四十八","有些可爱","","1","monotonic_next","section-48","True","False"
"7554","49","四十九","不愁方源脱离掌控","","1","monotonic_next","section-49","True","False"
"7712","50","五十","中阶!","","1","monotonic_next","section-50","True","False"
"7892","51","五十一","倒要看看你怎么解释","","1","monotonic_next","section-51","True","False"
"8076","52","五十二","我的解释你只能接受","","1","monotonic_next","section-52","True","False"
"8304","53","五十三","方源就任命你为班头","","1","monotonic_next","section-53","True","False"
"8312","54","五十四","我可是班头啊！","","1","monotonic_next","section-54","True","False"
"8522","55","五十五","要的就是你这番话","","1","monotonic_next","section-55","True","False"
"8680","56","五十六","洗尽嫌疑","","1","monotonic_next","section-56","True","False"
"8816","57","五十七","君子的谎言","","1","monotonic_next","section-57","True","False"
"8980","58","五十八","家族里不是只有规矩","","1","monotonic_next","section-58","True","False"
"9118","59","五十九","不管三转四转，都是猴子","","1","monotonic_next","section-59","True","False"
"9242","60","六十","影灭壁破现甬道，魔道传承岂易","","1","monotonic_next","section-60","True","False"
"9394","61","六十一","草绳上的人生","","1","monotonic_next","section-61","True","False"
"9554","62","六十二","蛊室再选蛊","","1","monotonic_next","section-62","True","False"
"9736","63","六十三","月下赠玉皮，地花藏白豕","","1","monotonic_next","section-63","True","False"
"9926","64","六十四","暗事好做，明事难成","","1","monotonic_next","section-64","True","False"
"10088","65","六十五","还不快滚","","1","monotonic_next","section-65","True","False"
"10260","66","六十六","人死如猪死","","1","monotonic_next","section-66","True","False"
"10454","67","六十七","你放心，我会饶了你们的","","1","monotonic_next","section-67","True","False"
"10584","68","六十八","大自然没有无辜","","1","monotonic_next","section-68","True","False"
"10732","69","六十九","命贱如草","","1","monotonic_next","section-69","True","False"
"10840","70","七十","使用白豕蛊","","1","monotonic_next","section-70","True","False"
"11014","71","七十一","力可扛猪思低调","","1","monotonic_next","section-71","True","False"
"11168","72","七十二","任何组织都需要忠诚","","1","monotonic_next","section-72","True","False"
"11302","73","七十三","神秘的红圈标记","","1","monotonic_next","section-73","True","False"
"11476","74","七十四","智窥迷雾现杀机","","1","monotonic_next","section-74","True","False"
"11632","75","七十五","魔道的觉悟！","","1","monotonic_next","section-75","True","False"
"11810","76","七十六","后悔吗","","1","monotonic_next","section-76","True","False"
"12006","77","七十七","阴差阳错","","1","monotonic_next","section-77","True","False"
"12180","78","七十八","不出算计收获丰","","1","monotonic_next","section-78","True","False"
"12334","79","七十九","突破遗藏第六蛊","","1","monotonic_next","section-79","True","False"
"12520","80","八十","战力大涨","","1","monotonic_next","section-80","True","False"
"12708","81","八十一","二转初阶！","","1","monotonic_next","section-81","True","False"
"12906","82","八十二","年末考核开始","","1","monotonic_next","section-82","True","False"
"13070","83","八十三","扫强敌方正展风采","","1","monotonic_next","section-83","True","False"
"13208","84","八十四","狠狠地踩踏！","","1","monotonic_next","section-84","True","False"
"13392","85","八十五","热血和冷血！！","","1","monotonic_next","section-85","True","False"
"13618","86","八十六","怀疑和试探","","1","monotonic_next","section-86","True","False"
"13774","87","八十七","态度就是心的面具","","1","monotonic_next","section-87","True","False"
"13916","88","八十八","下马威、刁难和打压","","1","monotonic_next","section-88","True","False"
"14076","89","八十九","一条病蛇盘踞在脚边","","1","monotonic_next","section-89","True","False"
"14214","90","九十","不过是些许风霜罢了","","1","monotonic_next","section-90","True","False"
"14374","91","九十一","方源，我们很担心你","","1","monotonic_next","section-91","True","False"
"14562","92","九十二","未来遥遥在望","","1","monotonic_next","section-92","True","False"
"14738","93","九十三","小兽潮","","1","monotonic_next","section-93","True","False"
"14924","94","九十四","忽然收力","","1","monotonic_next","section-94","True","False"
"15072","95","九十五","猪的队友","","1","monotonic_next","section-95","True","False"
"15268","96","九十六","为了死去的人","","1","monotonic_next","section-96","True","False"
"15466","97","九十七","魔头横行","","1","monotonic_next","section-97","True","False"
"15642","98","九十八","炼蛊的艰难","","1","monotonic_next","section-98","True","False"
"15786","99","九十九","是人不是神","","1","monotonic_next","section-99","True","False"
"16038","100","一百","白玉蛊","","1","monotonic_next","section-100","True","False"
"16226","101","一百零一","心老人便老（求订阅和月票！）","author_or_site","1","monotonic_next","section-101","False","True"
"16376","102","一百零二","冬风吹来春天(保质量第三更)","","1","monotonic_next","section-102","True","False"
"16532","103","一百零三","野心一大，世界就小","","1","monotonic_next","section-103","True","False"
"16700","104","一百零四","想买酒虫？","","1","monotonic_next","section-104","True","False"
"16870","105","一百零五","我会输得很惨","","1","monotonic_next","section-105","True","False"
"17024","106","一百零六","半生积累成泡影，唯有本命长久存","","1","monotonic_next","section-106","True","False"
"17214","107","一百零七","熟能生巧掂元石，酒肆当中恶客来","","1","monotonic_next","section-107","True","False"
"17384","108","一百零八","那双眼睛！","","1","monotonic_next","section-108","True","False"
"17668","109","一百零九","树屋藏酒虫","","1","monotonic_next","section-109","True","False"
"17854","110","一百一十","老太婆，你太嫩了！","","1","monotonic_next","section-110","True","False"
"18046","111","一百一十一","元石不过身外物","","1","monotonic_next","section-111","True","False"
"18228","112","一百一十二","真是好魄力","","1","monotonic_next","section-112","True","False"
"18412","113","一百一十三","闷声发财","","1","monotonic_next","section-113","True","False"
"18590","114","一百一十四","洞中有猴王","","1","monotonic_next","section-114","True","False"
"18784","115","一百一十五","晋升中阶","","1","monotonic_next","section-115","True","False"
"18972","116","一百一十六","斩杀猴王得新蛊","","1","monotonic_next","section-116","True","False"
"19160","117","一百一十七","苦贝酒和吞江蟾","","1","monotonic_next","section-117","True","False"
"19328","118","一百一十八","吞江蟾的传说","","1","monotonic_next","section-118","True","False"
"19522","119","一百一十九","此子顽劣，需要打磨","","1","monotonic_next","section-119","True","False"
"19690","120","一百二十","得来全不费工夫","","1","monotonic_next","section-120","True","False"
"19958","121","一百二十一","四味酒虫","","1","monotonic_next","section-121","True","False"
"20152","122","一百二十二","人生几多风雪","","1","monotonic_next","section-122","True","False"
"20332","123","一百二十三","天地我在独行","","1","monotonic_next","section-123","True","False"
"20488","124","一百二十四","我不需要理解","","1","monotonic_next","section-124","True","False"
"20646","125","一百二十五","哦，那我认输","","1","monotonic_next","section-125","True","False"
"20860","126","一百二十六","木魅之殇","","1","monotonic_next","section-126","True","False"
"21054","127","一百二十七","所谓的道德和感情（大章）","","1","monotonic_next","section-127","True","False"
"21280","128","一百二十八","严冬不肃杀，何以见阳春！","","1","monotonic_next","section-128","True","False"
"21494","129","一百二十九","锯齿金蜈","","1","monotonic_next","section-129","True","False"
"21670","130","一百三十","还是族人可靠","","1","monotonic_next","section-130","True","False"
"21876","131","一百三十一","孤独是最深邃的黑暗","","1","monotonic_next","section-131","True","False"
"22082","132","一百三十二","三步芳草","","1","monotonic_next","section-132","True","False"
"22292","133","一百三十三","谢谢你让我杀你","","1","monotonic_next","section-133","True","False"
"22498","134","一百三十四","追杀","","1","monotonic_next","section-134","True","False"
"22692","135","一百三十五","北冥冰魄，十绝天资","","1","monotonic_next","section-135","True","False"
"22848","136","一百三十六","斗力斗智","","1","monotonic_next","section-136","True","False"
"23040","137","一百三十七","影之殇","","1","monotonic_next","section-137","True","False"
"23226","138","一百三十八","居然有人追着白凝冰杀？","","1","monotonic_next","section-138","True","False"
"23426","139","一百三十九","断臂","","1","monotonic_next","section-139","True","False"
"23604","140","一百四十","古月青书VS白凝冰（上）","","1","monotonic_next","section-140","True","False"
"23782","141","一百四十一","古月青书VS白凝冰（中）","","1","monotonic_next","section-141","True","False"
"23986","142","一百四十二","古月青书VS白凝冰（下）","","1","monotonic_next","section-142","True","False"
"24170","143","一百四十三","答案","","1","monotonic_next","section-143","True","False"
"24392","144","一百四十四","牺牲常在，而信念不死","","1","monotonic_next","section-144","True","False"
"24558","145","一百四十五","都鼓励牺牲","","1","monotonic_next","section-145","True","False"
"24740","146","一百四十六","强势(第二更)","","1","monotonic_next","section-146","True","False"
"24922","147","一百四十七","这个方源太狂妄(第三更)","","1","monotonic_next","section-147","True","False"
"25100","148","一百四十八","局面（第一更）","","1","monotonic_next","section-148","True","False"
"25270","149","一百四十九","群狼袭寨（第二更）","","1","monotonic_next","section-149","True","False"
"25506","150","一百五十","我只是帮自己（第三更）","","1","monotonic_next","section-150","True","False"
"25736","151","一百五十一","魔性","","1","monotonic_next","section-151","True","False"
"25932","152","一百五十二","晋升三转（第二更）","","1","monotonic_next","section-152","True","False"
"26138","153","一百五十三","真的老了","","1","monotonic_next","section-153","True","False"
"26328","154","一百五十四","气得吐血","","1","monotonic_next","section-154","True","False"
"26510","155","一百五十五","借","","1","monotonic_next","section-155","True","False"
"26680","156","一百五十六","照影秘方，花酒迷离","","1","monotonic_next","section-156","True","False"
"26830","157","一百五十七","血月蛊","","1","monotonic_next","section-157","True","False"
"26998","158","一百五十八","此一时彼一时","","1","monotonic_next","section-158","True","False"
"27206","159","一百五十九","这个方源……","","1","monotonic_next","section-159","True","False"
"27430","160","一百六十","满堂叫好","","1","monotonic_next","section-160","True","False"
"27624","161","一百六十一","心甘情愿被剥削","","1","monotonic_next","section-161","True","False"
"27828","162","一百六十二","天元宝莲","","1","monotonic_next","section-162","True","False"
"28022","163","一百六十三","雷冠头狼","","1","monotonic_next","section-163","True","False"
"28196","164","一百六十四","激战","","1","monotonic_next","section-164","True","False"
"28418","165","一百六十五","血滴子","","1","monotonic_next","section-165","True","False"
"28610","166","一百六十六","二战白凝冰","","1","monotonic_next","section-166","True","False"
"28836","167","一百六十七","第四头？！","","1","monotonic_next","section-167","True","False"
"29058","168","一百六十八","狡电狈","","1","monotonic_next","section-168","True","False"
"29290","169","一百六十九","寻路","","1","monotonic_next","section-169","True","False"
"29494","170","一百七十","铁面无私血可冷？","","1","monotonic_next","section-170","True","False"
"29732","171","一百七十一","骨子里的魔性","","1","monotonic_next","section-171","True","False"
"29886","172","一百七十二","非方源莫属！","","1","monotonic_next","section-172","True","False"
"30070","173","一百七十三","白相仙蛇","","1","monotonic_next","section-173","True","False"
"30270","174","一百七十四","小神捕","","1","monotonic_next","section-174","True","False"
"30420","175","一百七十五","压力渐生","","1","monotonic_next","section-175","True","False"
"30596","176","一百七十六","牺牲的觉悟","","1","monotonic_next","section-176","True","False"
"30742","177","一百七十七","哥哥，你怎么能这样对我？！","","1","monotonic_next","section-177","True","False"
"30896","178","一百七十八","黑白灰","","1","monotonic_next","section-178","True","False"
"31086","179","一百七十九","历史由人书写","","1","monotonic_next","section-179","True","False"
"31250","180","一百八十","再看开窍大典","","1","monotonic_next","section-180","True","False"
"31378","181","一百八十一","阴差阳错（大章）","","1","monotonic_next","section-181","True","False"
"31602","182","一百八十二","血湖墓地","","1","monotonic_next","section-182","True","False"
"31606","182","一百八十二","血湖墓地","","1","duplicate_number","section-182","False","True"
"31806","183","一百八十三","血海老祖","","1","monotonic_next","section-183","True","False"
"31976","184","一百八十四","五转激战","","1","monotonic_next","section-184","True","False"
"31982","185","一百八十五","古月一代，五大飞僵","","1","monotonic_next","section-185","True","False"
"31986","185","一百八十五","古月一代，五大飞僵","","1","duplicate_number","section-185","False","True"
"32194","186","一百八十六","春秋不出","","1","monotonic_next","section-186","True","False"
"32200","187","一百八十七","时间长河唯一条，春秋蝉做舟来渡","","1","monotonic_next","section-187","True","False"
"32358","188","一百八十八","前人开道后人跑路","","1","monotonic_next","section-188","True","False"
"32362","188","一百八十八","前人开道后人跑路","","1","duplicate_number","section-188","False","True"
"32554","189","一百八十九","惊变","","1","monotonic_next","section-189","True","False"
"32736","190","一百九十","三战白凝冰","","1","monotonic_next","section-190","True","False"
"32950","191","一百九十一","鹤灾","","1","monotonic_next","section-191","True","False"
"33152","192","一百九十二","扬眉吐气","","1","monotonic_next","section-192","True","False"
"33156","192","一百九十二","扬眉吐气","","1","duplicate_number","section-192","False","True"
"33292","193","一百九十三","神捕后手","","1","monotonic_next","section-193","True","False"
"33296","193","一百九十三","神捕后手","","1","duplicate_number","section-193","False","True"
"33470","194","一百九十四","血幕天华","","1","monotonic_next","section-194","True","False"
"33474","194","一百九十四","血幕天华","","1","duplicate_number","section-194","False","True"
"33642","195","一百九十五","那就让我成魔","","1","monotonic_next","section-195","True","False"
"33646","195","一百九十五","那就让我成魔","","1","duplicate_number","section-195","False","True"
"33790","196","一百九十六","再次重生","","1","monotonic_next","section-196","True","False"
"33794","196","一百九十六","再次重生","","1","duplicate_number","section-196","False","True"
"33990","197","一百九十七","改命","","1","monotonic_next","section-197","True","False"
"34198","198","一百九十八","杀人放血心狠，因祸得福手辣！","","1","monotonic_next","section-198","True","False"
"34410","199","一百九十九","走向各自的命运","","1","monotonic_next","section-199","True","False"
"34590","1","一","黄龙江上竹筏倾","","2","decrease_review_required","section-1","False","True"
"34594","1","一","黄龙江上竹筏倾","","2","duplicate_number","section-1","False","True"
"34774","2","二","浅滩休整借蛊虫","","2","monotonic_next","section-2","True","False"
"34778","2","二","浅滩休整借蛊虫","","2","duplicate_number","section-2","False","True"
"34960","3","三","鳄杀机少女悲鸣","","2","monotonic_next","section-3","True","False"
"34964","3","三","鳄杀机少女悲鸣","","2","duplicate_number","section-3","False","True"
"35142","4","四","各怀异志","","2","monotonic_next","section-4","True","False"
"35334","5","五","背甲蛊和鳄力蛊","","2","monotonic_next","section-5","True","False"
"35530","6","六","夜宿树冠","","2","monotonic_next","section-6","True","False"
"35716","7","七","成为主导者","","2","monotonic_next","section-7","True","False"
"35720","7","七","成为主导者","","2","duplicate_number","section-7","False","True"
"35908","8","八","轩辕神鸡","","2","monotonic_next","section-8","True","False"
"35912","8","八","轩辕神鸡","","2","duplicate_number","section-8","False","True"
"36082","9","九","奔逃","","2","monotonic_next","section-9","True","False"
"36086","9","九","奔逃","","2","duplicate_number","section-9","False","True"
"36306","10","十","遭遇魔道蛊师","","2","monotonic_next","section-10","True","False"
"36310","10","十","遭遇魔道蛊师","","2","duplicate_number","section-10","False","True"
"36506","11","十一","谋划","","2","monotonic_next","section-11","True","False"
"36664","12","十二","路","","2","monotonic_next","section-12","True","False"
"36984","13","十三","猴脑美食","","2","monotonic_next","section-13","True","False"
"37180","14","十四","坑","","2","monotonic_next","section-14","True","False"
"37366","15","十五","轰！","","2","monotonic_next","section-15","True","False"
"37600","16","十六","方源落泪","","2","monotonic_next","section-16","True","False"
"37786","17","十七","青铜舍利蛊","","2","monotonic_next","section-17","True","False"
"37950","18","十八","授人以柄","","2","monotonic_next","section-18","True","False"
"38140","19","十九","演得好一场戏","","2","monotonic_next","section-19","True","False"
"38320","20","二十","跋涉白骨山","","2","monotonic_next","section-20","True","False"
"38508","21","二十一","原来是魔道贼子！","","2","monotonic_next","section-21","True","False"
"38716","22","二十二","欢迎来到白骨山","","2","monotonic_next","section-22","True","False"
"38940","23","二十三","白骨传承（上）","","2","monotonic_next","section-23","True","False"
"39152","24","二十四","白骨传承（中）","","2","monotonic_next","section-24","True","False"
"39386","25","二十五","白骨传承（下）","","2","monotonic_next","section-25","True","False"
"39554","26","二十六","玉骨铁骨","","2","monotonic_next","section-26","True","False"
"39772","27","二十七","骨肉团圆","","2","monotonic_next","section-27","True","False"
"40044","28","二十八","无足鸟啊，振翅高飞吧！","","2","monotonic_next","section-28","True","False"
"40428","29","二十九","幽豹殉情","","2","monotonic_next","section-29","True","False"
"40618","30","三十","村庄休整","","2","monotonic_next","section-30","True","False"
"40796","31","三十一","合作修行","","2","monotonic_next","section-31","True","False"
"40986","32","三十二","修行得上瘾了！","","2","monotonic_next","section-32","True","False"
"41168","33","三十三","换骨剧痛","","2","monotonic_next","section-33","True","False"
"41348","34","三十四","深深的误会","","2","monotonic_next","section-34","True","False"
"41546","35","三十五","通缉令","","2","monotonic_next","section-35","True","False"
"41740","36","三十六","商心慈","","2","monotonic_next","section-36","True","False"
"41942","37","三十七","好人会有好报？","","2","monotonic_next","section-37","True","False"
"42128","38","三十八","揍人","","2","monotonic_next","section-38","True","False"
"42386","39","三十九","小姐救命！","","2","monotonic_next","section-39","True","False"
"42616","40","四十","匪猴山","","2","monotonic_next","section-40","True","False"
"42800","41","四十一","掰手腕","","2","monotonic_next","section-41","True","False"
"43006","42","四十二","黄金山","","2","monotonic_next","section-42","True","False"
"43192","43","四十三","聪明人的默契","","2","monotonic_next","section-43","True","False"
"43356","44","四十四","送到嘴边的肥肉","","2","monotonic_next","section-44","True","False"
"43532","45","四十五","近乎讹诈","","2","monotonic_next","section-45","True","False"
"43686","46","四十六","二转高阶","","2","monotonic_next","section-46","True","False"
"43876","47","四十七","被发现","","2","monotonic_next","section-47","True","False"
"44092","48","四十八","白羽飞象","","2","monotonic_next","section-48","True","False"
"44316","49","四十九","力所能及就可心安理得","","2","monotonic_next","section-49","True","False"
"44540","50","五十","滴水之恩，当涌泉相报！","","2","monotonic_next","section-50","True","False"
"44728","51","五十一","果然是魔道蛊师！","","2","monotonic_next","section-51","True","False"
"44938","52","五十二","子不教父之过!","","2","monotonic_next","section-52","True","False"
"45182","53","五十三","唯有实力，才是一切","","2","monotonic_next","section-53","True","False"
"45360","54","五十四","死的才干净","","2","monotonic_next","section-54","True","False"
"45572","55","五十五","尸群来袭","","2","monotonic_next","section-55","True","False"
"45780","56","五十六","丁浩，你给我出来！","","2","monotonic_next","section-56","True","False"
"45978","57","五十七","原来你是大师兄","","2","monotonic_next","section-57","True","False"
"46132","58","五十八","背后一枪","","2","monotonic_next","section-58","True","False"
"46438","59","五十九","计划中的分别","","2","monotonic_next","section-59","True","False"
"46620","60","六十","父女相认","","2","monotonic_next","section-60","True","False"
"46824","61","六十一","各有算计","","2","monotonic_next","section-61","True","False"
"47008","62","六十二","商家内城","","2","monotonic_next","section-62","True","False"
"47238","63","六十三","卖不出去","","2","monotonic_next","section-63","True","False"
"47434","64","六十四","接见","","2","monotonic_next","section-64","True","False"
"47602","65","六十五","糟糕透顶！","","2","monotonic_next","section-65","True","False"
"47786","66","六十六","刀光对骨枪","","2","monotonic_next","section-66","True","False"
"47974","67","六十七","我名叫方正","","2","monotonic_next","section-67","True","False"
"48152","68","六十八","大大低估了方源的无耻","","2","monotonic_next","section-68","True","False"
"48318","69","六十九","暴富","","2","monotonic_next","section-69","True","False"
"48528","70","七十","家宴","","2","monotonic_next","section-70","True","False"
"48708","71","七十一","商燕飞的酬谢","","2","monotonic_next","section-71","True","False"
"48918","72","七十二","紫荆令牌（二合一大章）","","2","monotonic_next","section-72","True","False"
"49266","72","七十二","紫荆令牌","","2","duplicate_number","section-72","False","True"
"49612","73","七十三","新盟约","","2","monotonic_next","section-73","True","False"
"49808","74","七十四","晋升三转","","2","monotonic_next","section-74","True","False"
"50004","75","七十五","活宝门","","2","monotonic_next","section-75","True","False"
"50182","76","七十六","力道和冰道","","2","monotonic_next","section-76","True","False"
"50338","77","七十七","星辰石","","2","monotonic_next","section-77","True","False"
"50502","78","七十八","谨慎和忍耐","","2","monotonic_next","section-78","True","False"
"50720","79","七十九","何等天真！","","2","monotonic_next","section-79","True","False"
"50926","80","八十","这就动手？!","","2","monotonic_next","section-80","True","False"
"51124","81","八十一","剑影蛊（两章合一）","","2","monotonic_next","section-81","True","False"
"51458","82","八十二","熊力虚影","","2","monotonic_next","section-82","True","False"
"51692","83","八十三","灵光一闪蛊","","2","monotonic_next","section-83","True","False"
"51878","84","八十四","得手","","2","monotonic_next","section-84","True","False"
"52088","85","八十五","一，二，五","","2","monotonic_next","section-85","True","False"
"52288","86","八十六","全力以赴蛊","","2","monotonic_next","section-86","True","False"
"52448","87","八十七","牛刀小试先一场","","2","monotonic_next","section-87","True","False"
"52632","88","八十八","名声蛊","","2","monotonic_next","section-88","True","False"
"52826","89","八十九","力道修行有玄机","","2","monotonic_next","section-89","True","False"
"53082","90","九十","不能阻挡我","","2","monotonic_next","section-90","True","False"
"53270","91","九十一","方源vs李好（上）","","2","monotonic_next","section-91","True","False"
"53504","92","九十二","方源vs李好（下）","","2","monotonic_next","section-92","True","False"
"53786","93","九十三","法则碎片，大道之痕","","2","monotonic_next","section-93","True","False"
"53980","94","九十四","苍天无眼啊","","2","monotonic_next","section-94","True","False"
"54188","95","九十五","罪犯必要严惩！","","2","monotonic_next","section-95","True","False"
"54350","96","九十六","其实，我也是受害者","","2","monotonic_next","section-96","True","False"
"54524","97","九十七","拍卖会","","2","monotonic_next","section-97","True","False"
"54744","98","九十八","一蹴而就蛊","","2","monotonic_next","section-98","True","False"
"54962","99","九十九","白凝冰vs铁刀苦","","2","monotonic_next","section-99","True","False"
"55196","100","一百","闭嘴，你这头肥猪！","","2","monotonic_next","section-100","True","False"
"55390","101","一百零一","方源vs朱八（上）","","2","monotonic_next","section-101","True","False"
"55640","102","一百零二","方源vs朱八（下）","","2","monotonic_next","section-102","True","False"
"55832","103","一百零三","铁若男","","2","monotonic_next","section-103","True","False"
"56006","104","一百零四","真想扼杀掉","","2","monotonic_next","section-104","True","False"
"56166","105","一百零五","苦力蛊","","2","monotonic_next","section-105","True","False"
"56382","106","一百零六","拍卖（上）","","2","monotonic_next","section-106","True","False"
"56558","107","一百零七","拍卖（中）","","2","monotonic_next","section-107","True","False"
"56748","108","一百零八","拍卖（下）","","2","monotonic_next","section-108","True","False"
"56962","109","一百零九","拍卖（终）","","2","monotonic_next","section-109","True","False"
"57172","110","一百一十","心慈之志","","2","monotonic_next","section-110","True","False"
"57344","111","一百一十一","你这个无耻小人！","","2","monotonic_next","section-111","True","False"
"57496","112","一百一十二","其实我是个善良的人","","2","monotonic_next","section-112","True","False"
"57674","113","一百一十三","再到三转巅峰","","2","monotonic_next","section-113","True","False"
"57892","114","一百一十四","白凝冰VS炎突","","2","monotonic_next","section-114","True","False"
"58120","115","一百一十五","胜和败","","2","monotonic_next","section-115","True","False"
"58466","116","一百一十六","硬气蛊","","2","monotonic_next","section-116","True","False"
"58658","117","一百一十七","必胜魔心","","2","monotonic_next","section-117","True","False"
"58884","118","一百一十八","方源vs巨开碑（上）","","2","monotonic_next","section-118","True","False"
"59132","119","一百一十九","方源vs巨开碑（中）","","2","monotonic_next","section-119","True","False"
"59332","120","一百二十","方源vs巨开碑（下）","","2","monotonic_next","section-120","True","False"
"59580","121","一百二十一","一飞冲天","","2","monotonic_next","section-121","True","False"
"59796","122","一百二十二","商家城喧腾","","2","monotonic_next","section-122","True","False"
"59960","123","一百二十三","竞争压力","","2","monotonic_next","section-123","True","False"
"60102","124","一百二十四","三王传承开启","","2","monotonic_next","section-124","True","False"
"60308","125","一百二十五","大赚一笔","","2","monotonic_next","section-125","True","False"
"60482","126","一百二十六","仙之福地","","2","monotonic_next","section-126","True","False"
"60628","127","一百二十七","九眼酒虫","","2","monotonic_next","section-127","True","False"
"60800","128","一百二十八","才貌双全，心慈风采","","2","monotonic_next","section-128","True","False"
"60988","129","一百二十九","都是吃","","2","monotonic_next","section-129","True","False"
"61168","130","一百三十","雄家三兄弟","","2","monotonic_next","section-130","True","False"
"61350","131","一百三十一","卫德馨","","2","monotonic_next","section-131","True","False"
"61524","132","一百三十二","晋升四转","","2","monotonic_next","section-132","True","False"
"61716","133","一百三十三","周全的震骇","","2","monotonic_next","section-133","True","False"
"61902","134","一百三十四","离开商家城","","2","monotonic_next","section-134","True","False"
"62102","135","一百三十五","仙鹤门，方正","","2","monotonic_next","section-135","True","False"
"62298","136","一百三十六","白狐蛊仙传承","","2","monotonic_next","section-136","True","False"
"62456","137","一百三十七","英雄救美","","2","monotonic_next","section-137","True","False"
"62628","138","一百三十八","见死不救","","2","monotonic_next","section-138","True","False"
"62828","139","一百三十九","狐魅儿","","2","monotonic_next","section-139","True","False"
"63012","140","一百四十","麻烦","","2","monotonic_next","section-140","True","False"
"63164","141","一百四十一","打成肉渣","","2","monotonic_next","section-141","True","False"
"63378","142","一百四十二","何等的穷凶极恶！","","2","monotonic_next","section-142","True","False"
"63548","143","一百四十三","彪","","2","monotonic_next","section-143","True","False"
"63752","144","一百四十四","卑劣无耻","","2","monotonic_next","section-144","True","False"
"63982","145","一百四十五","有才无德","","2","monotonic_next","section-145","True","False"
"64144","146","一百四十六","横冲直撞蛊","","2","monotonic_next","section-146","True","False"
