line_no	type	sample
3554	敏感词:漠北	站在一旁的管家连忙答道：“自从上午听到了有关方源的消息，漠北少爷似乎深受打击，没有心情继续炼化月光蛊了。说起来也真是可惜，漠北少爷离成功就差那么一点了。其实要是方正取得第一，那还罢了，可是偏偏是那个丙等资质的方源。所以漠北少爷丧失了兴趣，也
3556	敏感词:漠尘	“哼！你不要为他开脱。”古月漠尘冷哼一声，脸色严肃，语气如铁，“蛊师修行步步艰辛，这点小挫折算得了什么？那方源不过是个丙等，之所以能得第一，想必也是因为运气。他选的那只月光蛊，意志孱弱，才让他捷足先登。如果漠北看不透这点，连这点挫折都承受不
3556	敏感词:漠北	“哼！你不要为他开脱。”古月漠尘冷哼一声，脸色严肃，语气如铁，“蛊师修行步步艰辛，这点小挫折算得了什么？那方源不过是个丙等，之所以能得第一，想必也是因为运气。他选的那只月光蛊，意志孱弱，才让他捷足先登。如果漠北看不透这点，连这点挫折都承受不
3570	敏感词:漠北	“所以，放下这件微不足道的小事。方源他不会是你的劲敌，也不配称为你的劲敌。你真正的强敌，是甲等资质的方正，是漠家的漠北。你听明白了么？”
3684	敏感词:漠北	他重点照顾方正、漠北、赤城这些资质优异的学员，耐心地纠正他们的姿势错误，教授自己的心得。而对方源这种丙等的学员，只是稍微提点两句。
3716	敏感词:漠北	“连他都能发出月刃，我更不能输！”古月漠北双眼闪过一丝坚定。
3848	敏感词:漠北	也就是说，若无进项，方源所剩下的元石只够他维持大半个月的。他不像其他的同龄人，身边或多或少都有亲朋好友帮衬着，尤其是古月漠北、古月赤城这种学员，元石根本不缺。
4052	敏感词:漠北	“终于轮到我了。”这时，古月漠北的马脸上满带自信微笑，走上了场。
4066	敏感词:漠北	不过这样的表现，已经和古月漠北持平，同样得到了家老的表扬。
4068	敏感词:漠北	赤城昂着头走下场，途中挑衅地看了漠北一眼。
4070	敏感词:漠北	“哼！”场下，古月漠北一声冷哼，却没回瞪赤城，而是看向仍旧还未上场的古月方正。
4076	敏感词:漠北	现在古月赤城的成绩已经出来了，和他漠北相平，只剩下古月方正了。
4102	敏感词:漠北	古月漠北和古月赤城二人，亦是面色微沉
4110	敏感词:漠北	这个结果，让学堂家老点点头，漠北和赤城则镇定下来。方正的这个成绩，和他们不相伯仲，就看学堂家老怎么评分了。
4114	敏感词:漠北	接下来的几组，就没有什么看点了。再没有人能表现得比漠北、赤城、方正他们三人更好。
4128	敏感词:漠北	“是那个方源……”古月漠北抬头看了一眼方源，又垂下眼帘，不是很在意。
4162	敏感词:漠北	他在心中已经打定主意，虽然漠北、赤城、方正的成绩都是一样，但他会选方正为第一。
4164	敏感词:漠北	古月漠北和古月赤城的争斗，就是家族中两大当权家老的政治斗争的缩影。学堂家老一直是中间派，不想参合到政治漩涡中去。
4250	敏感词:漠尘	“可恶，竟然又被他夺了第一……”古月漠尘紧紧盯着方源，心中很不忿。
4268	敏感词:漠北	“元石不是重点，关键是班头、副班头这样的位置，代表着荣耀，身份也要凌驾于其他人之上。普通学员见到班头，都要鞠躬问好的。”古月漠北和赤城等人并不缺元石，而是对这份荣耀非常重视。
4274	敏感词:漠北	“古月方源呢？”古月漠北想要找到方源，当面问个清楚。但是方源早已经先一步离开了。
4278	敏感词:漠北	“算了，不过十块元石的奖励罢了，不必在意这种事情，当务之急还是晋升中阶，夺得班头之位。”古月漠北眯着眼睛，看了看身边的古月赤城和古月方正。
4368	敏感词:漠北	“这是怎么回事？！”古月漠北后一步到达，惊呼一声。他看到学堂大门口处，方源站在那里，而周围却倒着五六个学员。
4382	敏感词:漠北	“放你妈的屁！就凭你一个区区丙等，也想战胜我堂堂乙等？”古月漠北勃然大怒，抡起拳头，第一时间向方源冲去。
4386	敏感词:漠北	然后伸出左手，并起食指和中指，往漠北锁骨中央，喉咙下部的那块方位，准确一戳。
4388	敏感词:漠北	漠北顿时两眼一黑，扑通一声，倒在地上，昏过去了。
4430	敏感词:漠北	“那不是古月漠北么？”古月赤城看着地上昏迷过去的漠北，目瞪口呆。
4840	敏感词:漠北	“方源，你欺人太甚。我要向你挑战！”古月漠北怒吼一声，率先战了出来。
4844	敏感词:漠北	漠北举起双拳冲了过去，几个回合后，他昏倒在地。
4846	敏感词:漠北	“漠北你太没用了，看我的！”古月赤城大吼一声，冲向方源。
4848	敏感词:漠北	攻防转换了一下，他就步入了漠北的后尘。
4862	敏感词:漠北	“我苦练基本拳脚连续七天，想不到只在方源的手中支持了两招，就被他再次击昏。耻辱，耻辱啊！”古月漠北心中充满了羞愤恼怒。
4868	敏感词:漠北	听到这个熟悉的声音，古月漠北脸色一松，停止了攻击，转过头去：“姐姐，你回来了！”
4870	敏感词:漠北	“嗯，家族委派了侦察任务，出去了十几天……”古月漠颜笑着答道，她是漠北的亲姐姐，目前已经是二转中阶的蛊师。
4874	敏感词:漠尘	“啊，没什么事。这是我不小心走路摔跤，磕到的。”漠北脸上闪过一丝慌乱之色，胡乱搪塞了一个理由，他可不希望姐姐知道自己这么糗的事情。堂堂漠之分家未来的掌权人，古月漠尘的亲孙子，居然连续两次被人打昏。
4874	敏感词:漠北	“啊，没什么事。这是我不小心走路摔跤，磕到的。”漠北脸上闪过一丝慌乱之色，胡乱搪塞了一个理由，他可不希望姐姐知道自己这么糗的事情。堂堂漠之分家未来的掌权人，古月漠尘的亲孙子，居然连续两次被人打昏。
4890	敏感词:漠尘	书房中，古月漠尘背对着她，正站在书桌前练字。
4892	敏感词:漠尘	“回来了？”古月漠尘并没有回头，而是直接问道，“在外面侦察了半个多月，那狼巢的情况怎么样？”
4896	敏感词:漠尘	“哼，全家上下，除了你能仗着我的宠爱不守规矩，连门都不敲一下。还能有谁？”古月漠尘带着责备的语气，不过转过身来，脸色却很温和，望着漠颜眼中带着笑意。
4902	敏感词:漠尘	古月漠尘脸色一肃：“你还没有回答我的话呢。”
4908	敏感词:漠尘	古月漠尘又问：“每三年基本上都会有一次狼潮，这并不稀奇。只是那狼群中，有多少只雷冠头狼呢？”
4912	敏感词:漠尘	古月漠尘点点头，放下心来。雷冠头狼是狼群中的首领，狼潮冲击山寨时，最棘手的存在。
4918	敏感词:漠尘	“告诉你也无妨，漠北是被人打了，七天前一次，今天第二次。是在学堂大门口被揍趴下的，两次都是当场昏迷。”古月漠尘笑着道。
4918	敏感词:漠北	“告诉你也无妨，漠北是被人打了，七天前一次，今天第二次。是在学堂大门口被揍趴下的，两次都是当场昏迷。”古月漠尘笑着道。
4922	敏感词:漠尘	“是他的一个同窗，叫做方源。他打得好啊……”古月漠尘呵呵笑出了声。
4924	敏感词:漠北	漠颜眼睛瞪得更大了，不解地问道：“爷爷，您这是什么话？漠北可是你亲孙子！”
4926	敏感词:漠尘	古月漠尘深深地看了孙女一眼，语重心长地道：“漠颜啊，你是女孩子，可能不懂。失败和耻辱会使人进步。没有失败，是淬炼不出一个成熟的男人的。”
4928	敏感词:漠北	“漠北被打了，是他自己的失败。他一清醒，就开始向护院们讨教拳脚功夫，这是一种进步。而这种进步，就是方源带来的，打醒他的。你作为他的亲姐姐，若要真正意义上爱护他，不要去干涉他的成长。方源只是个丙等的穷小子，漠北是乙等资质，身后又有我们，迟早有
4930	敏感词:漠北	“把这个对手留给漠北吧。女人的一生中，需要亲友爱人。而男人的一生中，亲友爱人可有可无，但惟独不能缺少对手。你不要去找方源的麻烦，知道吗？这是小一辈的事情。你参合进去，就是以大欺小。打破其中的规矩惯例，别人也会看不起我们漠家的。”
4932	敏感词:漠尘	漠颜几次张口欲言，但在古月漠尘的目光注视下，她最终还是低下了头，回答：“是，爷爷。孙女明白了。”
4934	敏感词:漠北	她垂首退出书房，就算是古月漠北也没有发现——她的眼中一直闪着别样的光。
5248	敏感词:漠北	“臭小子，你终于睁开眼了。你要修炼到什么时候？！赶紧出来吧，伸头一刀缩头也是一刀。你打了我们家的漠北少爷，被我家大小姐教训是早晚的事情。”看到方源终于有了动静，一直站在门口处的豪奴高碗顿时来了精神。
5592	敏感词:漠北	“是漠家啊，不好了，漠北这下麻烦了。”
5594	敏感词:漠北	很多少年都看向古月漠北。
5596	敏感词:漠北	漠北脸色苍白地坐在位置上，他也是今早刚刚得知的消息。方源居然杀了人，还杀了他熟悉的高碗！
5598	敏感词:漠北	这个高碗漠北很熟悉，在家奴中很活跃，善于奉承，又苦练过拳脚功夫，是个得力的狗腿子。
5600	敏感词:漠北	前一段时间，高碗还和他漠北对练了一会儿。想不到就这样被方源杀了！
5602	敏感词:漠北	正因为这样，漠北心中的震惊、难以置信，比其他人还要浓重一倍。
5606	敏感词:漠北	面对方源这样的杀人凶手，十五岁的漠北要说不怕，那是假话。
5708	敏感词:漠尘	“我叮嘱过你什么？看看你做的好事！”书房中，古月漠尘拍着桌面，在大发雷霆。
5716	敏感词:漠尘	古月漠尘怒喝起来：“你还好意思说！你是翅膀硬了，不把我说的话放在心上了，是不是？我告诫过你什么，你都忘了一干二净了！”
5720	敏感词:漠尘	古月漠尘手指着窗外，训斥道：“哼，那个什么家奴死了也就算了，但你现在还盯着方源不放，真是鼠目寸光，不知轻重！你知道你此举的意义吗？小辈争斗，是他们的事情。我们做长辈的，不要去插手。这是规矩！现在你找方源的麻烦，就是坏了规矩。如今不知道有多少
5724	敏感词:漠尘	“哦，是这样？”古月漠尘眉头皱了一下，他还是首次听到这个信息，眼中不禁闪过一抹精光。
5728	敏感词:漠尘	顿了一顿，古月漠尘用手指敲敲桌面：“来人，把那个盒子拿过来。”
5734	敏感词:漠尘	“你何不打开看看？”古月漠尘眯着双眼，语气有些复杂。
5758	敏感词:漠尘	书房中三人，唯有家老古月漠尘面色不变，他淡淡地扫了一眼这盒子的血肉，对漠颜缓缓地道：“这个盒子，就是方源今早摆放在我家的后门处。”
5770	敏感词:漠尘	“混账东西，你给我站住！”古月漠尘比她更怒，随手抓住书桌上的一块砚台，就甩手扔了出去。
5776	敏感词:漠尘	古月漠尘站起来，手指着自家孙女，语气很激动：“看来这些年你是白白历练了，你真是令我失望！对付一个小小的一转初阶的蛊师，你劳师动众不说，还一直被对方牵着鼻子走。现在又被愤怒冲昏了头脑，到现在你还明白方源此举的含义吗？”
5780	敏感词:漠尘	古月漠尘哼了一声：“方源若是一心想要挑衅，把此事闹大，何不将这箱子放在人来人往的正门，反而放在了人迹罕至的后门？”
5784	敏感词:漠尘	古月漠尘摇摇头，又点点头：“他是想和解，又的确在挑衅。他将木盒放在后门，是想和解。在木盒中装了碎尸，是在挑衅。”
5790	敏感词:漠尘	“这手段真是高明啊。”古月漠尘感慨道，“只是一个举动，就刚柔并济，进退有据。这个简简单单的木盒子，既表示了方源的妥协之意，又是他针对我们漠家的威胁。偏偏我们漠家，还真的被他捏住了软肋。漠家的名誉若是因此受损，紧接而来的，就是赤家的发难，族长
5794	敏感词:漠尘	“高看？”漠尘不悦地看了孙女一眼，“看来你这些年顺风顺水惯了，养成了自大的毛病，有些看不清现实。这方源先是临危不乱，诓骗你进入学堂。而后急中生智，在宿舍避祸。接着任你辱骂却不逞强，这是隐忍冷静。你走后他立刻杀了高碗，是坚毅勇敢。现在又送来这
5798	敏感词:漠尘	古月漠尘抚须长叹：“是啊，他只是个丙等。拥有如此心智，却只是丙等资质，实在是可惜。只要资质再高一层，是个乙等，他必将是我古月一族未来的风云弄潮儿。可惜是丙等啊。”
5804	敏感词:漠尘	“这件事情，是你一手造成的。你觉得怎么处理？”古月漠尘忽然打破沉默，开始考较漠颜。
5808	敏感词:漠尘	“嗯，你能以大局出发，暂时抛开个人感情，维护家族的利益，这点很好。不过这个处理手段还是欠妥。”古月漠尘抚须点评道。
5812	敏感词:漠尘	古月漠尘沉吟道：“此事由你而起，爷爷就罚你禁闭七天，从此以后不要再找方源的麻烦。高碗以下犯上，一介奴仆冒犯主子，该死，其罪当诛！因为他是漠家的家奴，漠家也有管教不严的责任，就赔偿那方源三十块元石吧。至于高碗的家人，给予他们五十块元石的补贴，
5972	敏感词:漠尘	方源又联想自身境况，心中早已运筹帷幄：“对漠家掌权人古月漠尘来讲，就是要维护本脉的繁荣和利益。漠颜找我麻烦，已经是坏了规矩，为了维护家族名誉，他必定不会对我动手。甚至还可能主动补偿我。”
5974	敏感词:漠尘	“其实漠家势力雄厚，凭着名誉受损，一心想要惩罚我，我也无力抵抗。但是古月漠尘心中却是怕的。他不是怕自己坏了规矩，而是担心其他人跟着他也开始坏规矩。小辈争斗，若是长辈插手，事态就会扩大，若是波及高层，对整个山寨就是巨大威胁。古月漠尘担忧害怕就
5974	敏感词:漠北	“其实漠家势力雄厚，凭着名誉受损，一心想要惩罚我，我也无力抵抗。但是古月漠尘心中却是怕的。他不是怕自己坏了规矩，而是担心其他人跟着他也开始坏规矩。小辈争斗，若是长辈插手，事态就会扩大，若是波及高层，对整个山寨就是巨大威胁。古月漠尘担忧害怕就
5984	敏感词:漠尘	“不过，我此番送了一盒子的碎尸，估计古月漠尘会解读成妥协和威胁之意罢。这也正是我想要他这么理解的。不出意外，漠家不会追究高碗的死了。当然，若是我资质再高一层，是个乙等，漠家就会感觉到威胁，凭着名誉受损，也要打压我这个未来的威胁。”方源心中冷
5990	敏感词:漠尘	寻常人物，大多也只是类似古月漠尘或者学堂家老，也只是知道自己的规矩，隔行如隔山。像方源这样，洞察大局，精通规矩何其难也！
6682	敏感词:漠北	他已经越来越感觉到，周围同窗各自明显的进步。尤其是在最近的几次勒索中，古月漠北、赤城，还有弟弟古月方正这三人，拳脚功夫进步的程度很大。以前只要一两招就能收拾，现在却需要五六招。
7034	作者话候选	因为是新书期的关系，一般都是每天稳定两更。所以请大家不要投催更票了呀，含泪打滚呀。投了我也吃不到呀。等上了架，我会加快更新速度的。这本书至少会每天两更！
7384	敏感词:漠北	交手了十几招后，古月漠北被方源一脚踢中腹部，踉跄着倒退五六步，正好退出了地上画着的圆圈。
7386	敏感词:漠北	拳脚教头站在场下，一直在主持着场面。看到此景，立即宣布：“古月漠北被击出场外，古月方源连胜三十三场！”
7388	敏感词:漠北	“哼，这次又输给你了。”古月漠北咬咬牙，双眼紧紧地盯着方源，“不过你不要嚣张。终有一天，我会打败你的。而我已经感觉到，这天已经越来越近了！”
7392	敏感词:漠北	“这点小伤算什么？”古月漠北刚反驳了半句，忽然面色一变，喉咙不禁一滚，呕出一口鲜血。
7398	敏感词:漠北	话音刚落，两位待在场外的治疗蛊师，就赶了过来，小心翼翼地将古月漠北搀扶了出去。
7400	敏感词:漠尘	古月漠尘不敢再说话，他深深地看了方源一眼，目光中充满了恼怒、愤恨、遗憾，以及不甘心。
7402	敏感词:漠北	“漠北虽然拳脚功夫很好，但还是打不过方源啊。”
7406	敏感词:漠北	“漠北居然被打得吐血，真是可怕呀。我可不想跟这个家伙打。”
7416	敏感词:漠北	但是没人应答，平日里有勇气挑战方源的，只有古月漠北、古月赤城，还有古月方正三人。但是这三人，都已经被打了下去。
7428	敏感词:漠北	“和他交手的同窗，都好惨的。漠北甚至还被打得吐血了。”
7638	敏感词:漠北	学堂家老凭借着丰富的经验，心中早已估算过：真正有希望率先晋升的，只有古月方正、赤城还有漠北这三人。
7642	敏感词:漠北	“古月方正、赤城还有漠北这三人，才是此届的希望种子啊。”学堂家老望着演武场，感叹一声。
7650	敏感词:漠北	第三个圈子，则是古月漠北。他已经被治好了内伤，此时站立在场中，脸色苍白。身边的同窗在向他嘘寒问暖。
7658	敏感词:漠北	面对方源，一直敢于正面对抗挑战的，只有方正、漠北以及赤城。
7720	敏感词:漠北	古月漠北站在院子里，仰首看着月亮，双目炯炯发亮。
7724	敏感词:漠北	“姐姐，你是担心我今天被打得吐血，会因此有了阴影吗？”漠北转身，嘴角一翘。
7728	敏感词:漠北	“呵呵呵，就知道姐姐最疼爱我了。”漠北挠挠头皮，嘻嘻笑着。
7734	敏感词:漠北	“姐姐，你别这么摸我头，我已经长大了。”漠北摇晃了一下脑袋，用略带不满的语气道，“你说的我都知道。我已经有了计划，正好趁着这些天，来温养空窍四壁，完成从初阶到中阶的晋升。先取得班头的位置，把方源那家伙的风头压下去。让他知道，蛊师修行真正注重
8148	敏感词:漠北	古月漠北握紧双拳，古月赤城狠狠地咬着牙关。
8308	敏感词:漠北	一切都在方源的意料当中。事后，学堂家老就令治疗蛊师，救助了那两个侍卫。侍卫的命保住了，但是落下了重等伤残，被学堂家老驱逐出了学堂。方源没有受到任何的惩罚，反而被表扬了一通。这样的结果，更令其他少年们感到惊惧。但这事还远远没有结束，随着时间的
8346	敏感词:漠北	古月漠北大摇大摆地走着，所到之处，学员们无不向他鞠躬致礼。
8354	敏感词:漠北	此时落日西下，残阳如血，漠北看着，心中欢喜地想到：“怎么以前就没觉察过，这夕阳红润的真是可爱啊……”
8356	敏感词:漠北	“哼，当了一个班头就抖起来了，有什么了不起的。”古月赤城故意走在后面，就是不想向古月漠北行礼问好。
8384	敏感词:漠北	一群少年簇拥着古月漠北走了过来。
8386	敏感词:漠北	看到方源堵在校门口，古月漠北大怒，手指向方源：“方源！你好大的胆子，居然还敢堵我们？！我现在已经是班头，你这个普通学员见了我，首先要鞠躬问好！”
8390	敏感词:漠北	古月漠北猝不及防，被一拳打中，不禁倒退几大步，一脸的难以置信：“你打我，你居然敢打我？我可是班头啊！”
8396	敏感词:漠北	几次攻防转换之后，古月漠北被方源击倒在地，昏迷过去。
8414	敏感词:王大	“哼哼，方源是什么样的人物，你也想去招惹？想想王大、吴二两个人现在是什么的下场吧！”
8420	敏感词:漠北	方源收拾了古月漠北，又收拾了方正和赤城。
8462	敏感词:漠尘	若他真的这样做了，第一个绕不过他的就是族长。第二个第三个对他有意见的，就是古月赤练和古月漠尘。
8466	敏感词:漠尘	同时对赤练和漠尘来讲，他们也希望各自的孙子，能够在这种挫折中成长。
9086	敏感词:漠北	“方源的确屡次出我意料，有一丝横空出世的意味。我一直在暗中关注方正，也早就知道他方源抢劫勒索的事情。就让他继续抢好了，用他好好磨一磨方正、漠北还有赤城这些璞玉。这很有好处啊，至少此届学员是我见到的拳脚功夫最扎实的一届了。”
9206	敏感词:漠尘	“学堂家老被留下，看来古月博是想插手学堂事务，取消对我的打压。依他的格局，倒是有这种气量。不过他的真正目的也不在于我，主要的出发点应该是古月方正。我把事情闹大的目的之一，就是引出风波，让高层注意。古月博不出面，也会有古月漠尘、古月赤练为了维
9566	敏感词:漠尘	在他的身后，依次是古月漠尘、古月方正，以及古月赤城。
9722	敏感词:漠尘	“该我了！不知道方源是否选择了那只蛊虫？”古月漠尘看到方源出来，急忙迈出大步，跨进了蛊室。
9764	敏感词:漠北	“而古月漠北选的是黄骆天牛蛊，此蛊增加耐力，能持久战。这就透露出漠北坚韧顽强的个性。”
9782	敏感词:漠北	他告诉方正漠北、赤城两人的选择，自有其深意。
9788	敏感词:漠北	身为族长，一言一行，都有着政治属性。若是直接指使方正，对付赤城和漠北，这话传出去，说不定就被人误解成族长的政治意图。这样的话，影响可就大了，搞不好家族内斗，还会祸及整个山寨。
9792	敏感词:漠北	“我替方正分析漠北和赤城的性情，他根本就没有意识到里面蕴藏的深意。反而问我古月方源的情况。看来方源留给他不少的阴影，不过他正是少年叛逆的时期，一心想压过方源，也可以理解。唉，若是方正有方源的智慧就好了，这些年我见过不少的少年，要论政治智慧，
10240	敏感词:王二	“王二哥，论我们村，打猎的本事谁都不如您啊。尤其是猎杀山猪，你们家的王老爷子可是方圆百里的猎王，大名鼎鼎，谁人不晓？”
10242	敏感词:王二	“是啊是啊，王二哥你继承了老爷子的真传，要猎一头山猪，自然是手到擒来！”
10244	敏感词:王二	“王二哥，今天王小妹怎么没有跟着你来呀？”
10248	敏感词:王二	二狗蛋却道：“男大当婚女大当嫁，我喜欢王家妹子犯法么？再说了，又不是只有我一个人喜欢，我们村那个男的不喜欢？王二哥，要我说你过年也十九了，这么大也该娶个老婆生娃子了。”
10256	敏感词:王二	当他看到方源之后，他立即眉头一拧，喝道：“嗯？你是哪个村哪户人家的小孩，居然也想捡我王二的便宜。还不快滚！”
10264	敏感词:王二	“滚？”方源听了王二这话，顿时一声冷笑，挥掌朝前一切。
10292	敏感词:王二	“哼，一群没用的东西，怕什么？不就是一个蛊师学员吗！”唯有王二仍旧站着，方源二话不说就动杀手，这让他又惊又怒，双臂往后一展，腰部往后一扬一缩，也不知什么动作，就将背在身后的弓箭握在了手中。
10294	敏感词:王二	“停住，你再过来，我就一箭射穿你！”王二一边后退，一边弯弓搭箭，同时口中咆哮着。
10296	敏感词:王二	“嗯？”方源眯起了双眼，这个王二有些棘手。寻常凡人见到蛊师，哪个不心中畏惧，但他却能保持镇定，倒是有些胆量。
10300	敏感词:王二	又一记月刃飞了出去，射向王二。
10302	敏感词:王二	“不识抬举。”王二冷哼一声，心中杀机顿起。
10308	敏感词:王二	方源身形一矮，头微微一低，就避过这箭，仍旧不断前冲，很快就接近了王二。
10310	敏感词:王二	王二非常果敢，立即丢了手中的弓箭，抡起碗口大的拳头，悍然迎上方源。
10320	敏感词:王二	“死吧！”王二眼中凶芒四射，脸上横肉扭动，既狰狞又疯狂，像是一条嗜血的恶狼。
10332	敏感词:王二	就在这千钧一发之际，他避过拳头，强行扭转身躯，冲到王二的左手一侧。
10334	敏感词:王二	王二狞笑一声，挥拳横扫，拳头后发先至，立即就要追上方源的后背。
10340	敏感词:王二	方源冷笑一声，身体在空中一个侧翻，让过王二挥来的拳头，同时右手一甩。
10346	敏感词:王二	王二顿时全身汗毛一炸，感到了史无前例的危机。他慌忙把头一歪，下一刻，幽蓝色的月刃飞过。
10348	敏感词:王二	“王二哥小心啊！”
10360	敏感词:王二	午后的烈日铺成出一片白炽的大背景，在这背景下，王二的身形简化成一个黑呼呼的影子，他后仰在空气中，矫健的身躯扬起一个弧线，如张开的一把弓，充满了男性力量的美感。
10370	敏感词:王二	代表王二的黑影，也顺着惯性，慢慢落下。
10404	敏感词:王二	“王二哥——？”一个猎户叫起来，声音充满了惊惶。一直以来，王二都是他们的头领。
10408	敏感词:王二	“王二哥是我们最强的猎手，前一刻他还和我们谈笑风生，想不到下一刻，他就死了！”
10416	敏感词:王二	刚刚他为了躲避王二的挥拳，在空中侧翻，因此就失去了平衡。射出了一记月刃后，就倒在了地上。
10418	敏感词:王二	不过这个侧翻倒地是值得的，若是中了王二那样的拳头，估计当场就要呕血。毕竟方源没有防御性的蛊虫，身躯还是十五岁的少年。
10422	敏感词:王二	“这个王二，很强，比那个漠家豪奴高碗还要强！若是寻常的学员碰到他，必败无疑。甚至就算是一转高阶的蛊师，也会因为大意栽在他的手中。”方源深深地看了王二的尸体一眼。
10426	敏感词:王二	这个王二，的确是个好手。
10432	敏感词:王二	这要换任何一个学员，都是必输无疑。不过王二不幸的地方在于，他碰到了方源。
10440	敏感词:王二	王二不得不弃掉弓箭，想和方源肉搏。
10442	敏感词:王二	但是方源亦没有想和王二贴身近战，他巧妙地利用角度和阳光，造成王二的破绽，然后射出第三道月刃。
10444	敏感词:王二	他如今已经晋升中阶，用了酒虫精炼真元，月刃就达到了高阶蛊师才有的攻击程度。如此近的距离，再加上王二视线模糊，击中王二是必然的事情。
10446	敏感词:王二	“不过这个王二，也着实精悍。我原本是想将他枭首，但是危急关头，他靠着感觉和反应力，居然硬生生避让大半，导致我的月刃只削了他的半个脑壳。”
10450	敏感词:王二	方源最后看了一眼王二的尸体，在心中叹了一口气。
10524	敏感词:王二	他话音刚落，从栅栏外就走进来两个年轻猎手，他们一人在前，一人在后抬着王二的尸体。
10528	敏感词:王二	“二哥——！”少女则凄凉地大叫一声，立即冲了过去，扑上王二的尸体，瞬间泪流满面。
10538	敏感词:王二	现在王二以下犯上，冒犯主子，按照族规，全家都得受到牵连！
10712	敏感词:王二	方源前世，什么样的话没听过？单凭一个“滚”字，还不至于让他杀了王二。
10716	敏感词:王二	杀死王二，减少阻力，才能更顺利地得到这张地图。那为什么不杀呢？
10750	敏感词:王大	“王猎头原本有个婆娘，但是十多年前，就被闯入村中的野狼给杀了。他婆娘死之前，给王老头生了两男一女。但是大儿子王大，在三年前打猎，死在了山上。王家没人了。”
